ENT_FED,CULTIVO,DESCRIPCION,UP_TOTAL,UP_AGCA,TON_AGCA_CUL,UP_SEMILLA,TON_SEMILLA_CUL,UP_CONSFAM,TON_CONSFAM_CUL,UP_CONSANIM,TON_CONSANIM_CUL,UP_VENTA,TON_VENTA_CUL
10 DGO,Sandía,Sandía,184.0,183.0,9770.1217,72.0,1.3013632,96.0,391.1317271,39.0,10.5629,129.0,9367.1257
10 DGO,Sorgo forrajero,Sorgo forrajero,6460.0,6460.0,1073186.2001,179.0,57.488958,2106.0,350.6641,5033.0,484593.478,3290.0,588184.569
10 DGO,Sorgo grano,Sorgo grano,1745.0,1745.0,18569.9524,1174.0,62.7290177,1133.0,17.2547489,1576.0,5145.4496,1326.0,13344.5195
10 DGO,Tomate de cascara (tomatillo),Tomate de cascara (tomatillo),,,306.835,,0.002,,0.408,0.0,0.0,,306.425
10 DGO,Trigo grano,Trigo grano,1954.0,1954.0,22752.3992,1469.0,1171.8223622,1202.0,112.2889557,1234.0,795.6913,1742.0,20672.5968
10 DGO,Perennes,Perennes,,,,,,,,,,,
10 DGO,Agave,Agave,3124.0,3091.0,1430.221,2.0,0.0444,2.0,0.3115,1.0,0.0048,14.0,1429.8603
10 DGO,Aguacate,Aguacate,617.0,617.0,1267.0012,29.0,0.4347039,193.0,81.7527843,17.0,105.8468,129.0,1078.967
10 DGO,Alfalfa,Alfalfa,6039.0,6039.0,2485473.2482,69.0,28.637086,2260.0,120.5044,4574.0,607719.9302,4302.0,1877604.1765
10 DGO,Café,Café,12.0,12.0,2.8594,2.0,0.0061,5.0,1.3267,1.0,0.0002,2.0,1.5264
10 DGO,Caña de azúcar,Caña de azúcar,71.0,71.0,761.7439,7.0,1.7919029,24.0,18.0051475,34.0,599.5741,13.0,142.3727
10 DGO,Espárrago,Espárrago,21.0,21.0,723.0452,0.0,0.0,7.0,0.8538,0.0,0.0,18.0,722.1914
10 DGO,Fresa,Fresa,6.0,2.0,6.0216,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0216
10 DGO,Guayaba,Guayaba,286.0,283.0,147.4332,20.0,0.5789,52.0,120.198875,18.0,4.4811,21.0,22.1743
10 DGO,Limón,Limón,487.0,487.0,31.2055,0.0,0.0,36.0,11.5485,1.0,0.05,14.0,19.607
10 DGO,Mango,Mango,311.0,311.0,77.5395,14.0,0.0186026,67.0,36.5182687,1.0,6.0,30.0,35.0026
10 DGO,Manzana,Manzana,1728.0,1715.0,7817.9012,318.0,0.5855667,711.0,296.6142051,323.0,18.2932,764.0,7502.4079
10 DGO,Naranja,Naranja,248.0,247.0,26.9452,2.0,0.1000111,39.0,13.6752,0.0,0.0,11.0,13.17
10 DGO,Nopal verdura,Nopal verdura,272.0,270.0,10221.9533,77.0,0.211,102.0,38.7781,90.0,67.4397,102.0,10115.5245
10 DGO,Nuez,Nuez,1922.0,1917.0,9836.9613,443.0,1.7142668,924.0,126.5756289,487.0,8.334,1356.0,9700.3374
10 DGO,Papaya,Papaya,121.0,120.0,273.032,3.0,0.111,15.0,9.6942,0.0,0.0,9.0,263.2268
10 DGO,Pasto cultivado,Pasto cultivado,592.0,592.0,11128.3386,121.0,13.0576678,0.0,0.0,444.0,6377.4677,58.0,4737.8132
10 DGO,Plátano,Plátano,155.0,155.0,7.816,0.0,0.0,33.0,5.8729941,0.0,0.0,6.0,1.943
